"Date","Price","Open","High","Low","Vol.","Change %"
"08/21/2020","27,334.9","27,485.0","27,541.2","27,241.1","98.57K","-0.54%"
"08/20/2020","27,482.1","27,436.9","27,507.0","27,349.4","114.07K","0.19%"
"08/19/2020","27,428.8","27,650.1","27,702.2","27,414.9","110.25K","-0.79%"
"08/18/2020","27,646.6","27,509.3","27,732.4","27,496.5","105.01K","0.51%"
"08/17/2020","27,505.2","27,438.6","27,534.8","27,412.0","86.61K","0.24%"
"08/14/2020","27,440.3","27,380.7","27,465.3","27,305.4","78.14K","0.25%"
"08/13/2020","27,373.1","27,315.2","27,496.5","27,302.5","93.35K","0.25%"
"08/12/2020","27,304.8","27,207.4","27,383.6","27,140.3","81.08K","0.37%"
"08/11/2020","27,204.0","27,204.6","27,365.0","27,164.6","101.80K","0.04%"
"08/10/2020","27,192.3","27,320.5","27,363.2","27,200.0","87.38K","-0.44%"
"08/07/2020","27,311.7","27,523.8","27,541.1","27,244.0","102.82K","-0.75%"
"08/06/2020","27,517.9","27,492.5","27,615.3","27,385.9","121.23K","0.11%"
"08/05/2020","27,486.7","27,352.9","27,592.2","27,330.9","106.25K","0.50%"
"08/04/2020","27,348.8","27,268.3","27,364.5","27,164.0","90.14K","0.36%"
"08/03/2020","27,250.2","27,313.0","27,346.6","27,108.4","97.03K","-0.14%"
"07/31/2020","27,287.3","27,456.1","27,606.2","27,259.7","111.29K","-0.60%"
"07/30/2020","27,453.1","27,324.6","27,463.0","27,188.4","119.58K","0.47%"
"07/29/2020","27,323.3","27,162.3","27,368.6","27,151.9","99.79K","0.67%"
"07/28/2020","27,141.3","27,245.2","27,295.1","27,119.4","103.31K","-0.36%"
"07/27/2020","27,240.0","26,996.6","27,312.4","26,974.6","102.19K","0.86%"
"07/24/2020","27,008.2","26,883.0","27,026.7","26,843.6","107.49K","0.50%"
"07/23/2020","26,874.9","26,836.6","26,953.7","26,749.7","101.85K","0.21%"
"07/22/2020","26,819.3","26,720.2","26,898.1","26,677.8","99.00K","0.39%"
"07/21/2020","26,714.9","26,545.6","26,752.6","26,479.1","91.43K","0.67%"
"07/20/2020","26,536.3","26,459.8","26,594.3","26,438.9","91.35K","0.14%"
"07/17/2020","26,498.0","26,393.8","26,542.1","26,377.6","104.79K","0.41%"
"07/16/2020","26,390.3","26,455.3","26,530.6","26,361.3","117.86K","-0.23%"
"07/15/2020","26,451.8","26,427.5","26,551.5","26,408.9","114.11K","0.13%"
"07/14/2020","26,417.1","26,290.8","26,449.5","26,252.5","122.21K","0.49%"
"07/13/2020","26,287.3","26,193.4","26,368.4","26,187.6","94.62K","0.39%"
"07/10/2020","26,185.4","26,160.2","26,253.6","26,089.1","92.43K","0.09%"
"07/09/2020","26,160.8","26,270.8","26,370.5","26,152.1","102.94K","-0.41%"
"07/08/2020","26,269.7","26,153.4","26,325.3","26,117.9","114.72K","0.56%"
"07/07/2020","26,123.9","26,239.7","26,296.6","26,119.7","118.93K","-0.42%"
"07/06/2020","26,233.4","26,082.6","26,326.7","26,077.9","92.47K","0.53%"
"07/03/2020","26,094.2","26,080.2","26,110.4","26,028.0","117.34K","0.08%"
"07/02/2020","26,074.4","26,109.1","26,227.5","26,039.6","110.01K","-0.11%"
"07/01/2020","26,103.4","26,065.6","26,163.7","25,952.5","98.51K","0.16%"
"06/30/2020","26,060.4","26,080.8","26,135.2","25,968.1","125.68K","-0.05%"
"06/29/2020","26,074.6","26,059.0","26,191.0","26,027.5","120.46K","0.15%"
"06/26/2020","26,034.7","26,040.5","26,090.3","25,983.6","117.85K","0.02%"
"06/25/2020","26,030.1","26,106.8","26,131.2","25,970.9","130.07K","-0.25%"
"06/24/2020","26,094.4","26,251.6","26,297.2","26,101.0","121.55K","-0.57%"
"06/23/2020","26,244.6","26,136.1","26,347.9","26,073.4","131.88K","0.44%"
"06/22/2020","26,129.8","25,971.6","26,161.7","25,932.1","109.68K","0.72%"
